Question,CorrectAnswer,Option1,Option2,Option3,Reason
What is the purpose of the <meta charset='UTF-8'> tag in an HTML document?,It specifies the character encoding for the document.,It sets the font size for the entire page.,It defines the background color for the webpage.,It determines the page's title.,"The <meta charset='UTF-8'> tag is used to specify the character encoding for the document, ensuring that the browser correctly interprets special characters and symbols."
"In CSS, how can you select all <p> elements within a <div> element with the class 'content'?",.content p,#content p,div.content p,p.content,"To select all <p> elements within a <div> element with the class 'content,' you use the CSS selector '.content p.'"
What is the purpose of the JavaScript addEventListener method?,It allows you to attach event handlers to HTML elements.,It defines a new function in JavaScript.,It creates a new HTML element.,It links to external JavaScript libraries.,"The addEventListener method in JavaScript is used to attach event handlers to HTML elements, enabling you to respond to various user interactions."
Which HTML5 element is used for drawing graphics on a web page?,<canvas>,<drawing>,<paint>,<artboard>,The <canvas> element in HTML5 is specifically designed for drawing graphics and animations using JavaScript.
"In CSS, how can you center an element horizontally within its parent container?",Using the 'margin: 0 auto;' property.,Using the 'text-align: center;' property.,Using the 'float: center;' property.,Using the 'display' property.,"To center an element horizontally within its parent container in CSS, you use the 'margin: 0 auto;' property."
What does the 'DOCTYPE' declaration in HTML5 do?,It specifies the type and version of HTML being used.,It defines the font style for the entire document.,It sets the background color for the webpage.,It links to external CSS files.,"The 'DOCTYPE' declaration in HTML5 specifies the type and version of HTML being used, ensuring proper rendering by web browsers."
How can you include an external JavaScript file in an HTML document?,Using the <script> element with the 'src' attribute pointing to the file.,Using the <link> element with the 'rel' attribute set to 'javascript'.,Using the <javascript> element with the 'file' attribute set to the script path.,Using the <external> element with the 'src' attribute pointing to the script file.,"To include an external JavaScript file in an HTML document, you use the <script> element with the 'src' attribute pointing to the file."
What is the purpose of the CSS 'box-sizing' property?,It controls how the width and height of elements are calculated.,It defines the color of the border around elements.,It determines the position of elements on the page.,It sets the background image for elements.,"The CSS 'box-sizing' property controls how the width and height of elements are calculated, affecting their layout and sizing within the document."
How can you comment out multiple lines of code in JavaScript?,Using /* to start the comment and */ to end it.,Using // at the beginning of each line.,Using <!- to start the comment and -> to end it.,Using ** to start and end the comment.,"To comment out multiple lines of code in JavaScript, you use /* to start the comment and */ to end it."
What is the purpose of the CSS 'z-index' property?,It controls the stacking order of elements on the page.,It defines the font size for text within elements.,It sets the margin of elements.,It determines the background color of elements.,"The CSS 'z-index' property controls the stacking order of elements on the page, allowing you to layer elements and control their visibility."
How can you prevent the default behavior of a link when clicked in JavaScript?,By using the 'event.preventDefault()' method within an event handler.,By using the 'link.disable()' method within an event handler.,By setting the 'link.default' property to 'false'.,By adding 'event.preventDefault()' as a link attribute.,"To prevent the default behavior of a link when clicked in JavaScript, you use the 'event.preventDefault()' method within an event handler."
