Question,CorrectAnswer,Option1,Option2,Option3,Reason,,,,,,,,,,,
What does the HTML5 'contenteditable' attribute do?,Allows the user to edit the content of an element,Controls the visibility of an element,Marks an element as a navigation menu,Defines the character encoding of the document,"The 'contenteditable' attribute in HTML5 allows the user to edit the content of an element directly within the web page. For example, <div contenteditable='true'>This content is editable</div>.",,,,,,,,,,,
What is the purpose of the 'srcset' attribute in HTML's 'img' element?,Specifies a set of images to be used in different scenarios,Defines the source URL of the image,Controls the image's height and width,Specifies the image's alt text,"The 'srcset' attribute in the 'img' element is used to specify a set of images with different resolutions or sizes. This allows the browser to choose the most appropriate image based on the user's device and screen resolution. For example, <img src='image.jpg' srcset='image-2x.jpg 2x, image-3x.jpg 3x' alt='An image'>.",,,,,,,,,,,
How can you create a custom data attribute in HTML?,Prefix the attribute name with 'data-',Use the 'custom' attribute,Use JavaScript to create the attribute,Use a 'meta' element in the document head,"To create a custom data attribute in HTML, you should prefix the attribute name with 'data-'. For example, <div data-customattribute='value'>Content</div>.",,,,,,,,,,,
What is the purpose of the 'defer' attribute in the 'script' element?,Delays script execution until after the document is parsed,Loads the script asynchronously,Defines the script's MIME type,Prevents the script from executing,"The 'defer' attribute in the 'script' element is used to delay the execution of the script until after the document is parsed. This can improve page loading performance, especially when placed in the 'head' section. For example, <script src='script.js' defer></script>.",,,,,,,,,,,
How do you embed an SVG image directly into an HTML document?,Use the 'img' element with the 'src' attribute,Use the 'object' element,Use the 'embed' element,Use the 'svg' element with the 'image' element,You can embed an SVG image directly into an HTML document using the 'svg' element with the 'image' element as follows: <svg><image xlink:href='image.svg' width='100' height='100' /></svg>.,,,,,,,,,,,
What is the purpose of the HTML 'picture' element?,Allows for responsive images with multiple sources,Embeds videos into web pages,Creates a container for text and images,Specifies the document's language,The 'picture' element in HTML is used for creating responsive images with multiple sources. It allows you to provide different image sources for different screen sizes or resolutions. For example: <picture><source srcset='large.jpg' media='(min-width: 1024px)' /><source srcset='small.jpg' /><img src='fallback.jpg' alt='An image' /></picture>.,,,,,,,,,,,
How can you create a hyperlink that opens an email client with a pre-filled subject and body?,Use the 'mailto' URI scheme,Use JavaScript to open the email client,Create a form with input fields for subject and body,Use the 'mailto' attribute in the 'a' element,"To create a hyperlink that opens an email client with a pre-filled subject and body, you should use the 'mailto' URI scheme. For example: <a href='mailto:recipient@example.com?subject=Subject%20Text&body=Body%20Text'>Send Email</a>.",,,,,,,,,,,
What is the purpose of the 'figure' and 'figcaption' elements in HTML?,Represents a self-contained piece of content with a caption,Defines a grouping of form controls,Specifies the document's character encoding,Creates a table for tabular data,"The 'figure' element in HTML is used to represent a self-contained piece of content, such as an image or a chart, and the 'figcaption' element is used to provide a caption for that content. This helps improve accessibility and semantic structure. For example: <figure><img src='image.jpg' alt='An image' /><figcaption>Caption for the image</figcaption></figure>.",,,,,,,,,,,
What is the purpose of the 'aria-label' attribute in HTML?,Provides an accessible label for an element when a visible label is not present,Defines the alignment of text within an element,Specifies the language of the document,Controls the styling of a text element,"The 'aria-label' attribute in HTML is used to provide an accessible label for an element, especially when a visible label is not present. It enhances accessibility for screen readers. For example: <button aria-label='Close'>X</button>.",,,,,,,,,,,
What is the correct way to define a custom icon font in HTML and CSS?,Use the 'iconfont' element,Embed SVG images directly,Link to an external CSS file that defines the icons,Use the 'font' element with the 'icon' attribute,"The correct way to define a custom icon font in HTML and CSS is to link to an external CSS file that defines the icons. This CSS file typically uses the '@font-face' rule to define the font and its character mappings.""What is the CSS 'grid-template-areas' property used for?",Defines the layout of a grid container using named grid areas,Controls the spacing between grid items,Adjusts the opacity of grid items,Specifies the grid container's width and height,The 'grid-template-areas' property in CSS is used to define the layout of a grid container by assigning names to specific grid areas. This allows for precise control over the placement of grid items. For example: .grid-container { display: grid; grid-template-areas: 'header header' 'sidebar main' 'footer footer'; },,,,,,
